,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,New England Patriots,7,3,0,.700,5-0,2-3,2-0,5-2,280,236,+44,L1
1,Miami Dolphins,5,5,0,.500,4-1,1-4,2-1,4-3,199,256,-57,L1
2,Buffalo Bills,3,7,0,.300,1-3,2-4,1-1,2-5,137,251,-114,W1
3,New York Jets,3,7,0,.300,2-3,1-4,0-3,2-5,208,254,-46,L4
4,Pittsburgh Steelers,7,2,1,.750,3-2,4-0-1,3-1-1,4-2-1,299,225,+74,W6
5,Baltimore Ravens,5,5,0,.500,3-2,2-3,2-3,5-3,237,181,+56,W1
6,Cincinnati Bengals,5,5,0,.500,3-2,2-3,1-2,3-3,256,312,-56,L2
7,Cleveland Browns,3,6,1,.350,3-2-1,0-4,1-1-1,2-4-1,218,263,-45,W1
8,Houston Texans,7,3,0,.700,3-1,4-2,2-1,5-2,239,205,+34,W7
9,Indianapolis Colts,5,5,0,.500,3-2,2-3,2-1,4-4,298,249,+49,W4
10,Tennessee Titans,5,5,0,.500,3-1,2-4,2-1,3-5,178,189,-11,L1
11,Jacksonville Jaguars,3,7,0,.300,2-4,1-3,0-3,2-5,176,219,-43,L6
12,Kansas City Chiefs,9,2,0,.818,5-0,4-2,3-0,7-1,404,294,+110,L1
13,Los Angeles Chargers,7,3,0,.700,3-2,4-1,2-2,5-2,262,209,+53,L1
14,Denver Broncos,4,6,0,.400,2-3,2-3,2-2,2-5,228,235,-7,W1
15,Oakland Raiders,2,8,0,.200,1-4,1-4,0-3,1-5,170,293,-123,W1
16,Washington Redskins,6,4,0,.600,3-3,3-1,2-0,6-2,197,198,-1,L1
17,Dallas Cowboys,5,5,0,.500,3-1,2-4,2-1,4-3,203,190,+13,W2
18,Philadelphia Eagles,4,6,0,.400,2-3,2-3,1-1,2-5,205,231,-26,L2
19,New York Giants,3,7,0,.300,1-4,2-3,0-3,2-6,215,263,-48,W2
20,Chicago Bears,7,3,0,.700,5-1,2-2,2-1,5-1,294,195,+99,W4
21,Minnesota Vikings,5,4,1,.550,3-2,2-2-1,1-1-1,4-3-1,241,229,+12,L1
22,Green Bay Packers,4,5,1,.450,4-0-1,0-5,1-1-1,2-4-1,247,243,+4,L1
23,Detroit Lions,4,6,0,.400,3-2,1-4,1-2,2-5,222,263,-41,W1
24,New Orleans Saints,9,1,0,.900,4-1,5-0,1-1,6-1,378,239,+139,W9
25,Carolina Panthers,6,4,0,.600,5-0,1-4,1-1,4-3,260,252,+8,L2
26,Atlanta Falcons,4,6,0,.400,3-3,1-3,2-1,4-3,263,276,-13,L2
27,Tampa Bay Buccaneers,3,7,0,.300,2-2,1-5,1-2,2-5,267,329,-62,L4
28,Los Angeles Rams,10,1,0,.909,6-0,4-1,4-0,6-1,389,282,+107,W2
29,Seattle Seahawks,5,5,0,.500,2-2,3-3,1-2,4-3,246,216,+30,W1
30,Arizona Cardinals,2,8,0,.200,1-5,1-3,2-2,2-5,145,248,-103,L2
31,San Francisco 49ers,2,8,0,.200,2-3,0-5,0-3,1-6,230,266,-36,L1
